Rank,Team,Points,Wins,Draws,Losses,GF,GA,GD
1,Man City,89,28,5,5,94,33,61
2,Arsenal,84,26,6,6,88,43,45
3,Man United,75,23,6,9,58,43,15
4,Newcastle,71,19,14,5,68,33,35
5,Liverpool,67,19,10,9,75,47,28
6,Brighton,62,18,8,12,72,53,19
7,Aston Villa,61,18,7,13,51,46,5
8,Tottenham,60,18,6,14,70,63,7
9,Brentford,59,15,14,9,58,46,12
10,Fulham,52,15,7,16,55,53,2
11,Crystal Palace,45,11,12,15,40,49,-9
12,Chelsea,44,11,11,16,38,47,-9
13,Wolves,41,11,8,19,31,58,-27
14,West Ham,40,11,7,20,42,55,-13
15,Bournemouth,39,11,6,21,37,71,-34
16,Nott'm Forest,38,9,11,18,38,68,-30
17,Everton,36,8,12,18,34,57,-23
18,Leicester,34,9,7,22,51,68,-17
19,Leeds,31,7,10,21,48,78,-30
20,Southampton,25,6,7,25,36,73,-37
